id,time,activity,call,circumplex.arousal,circumplex.valence,mood,screen,sms,timedelta,appCat.work,appCat.free_time,appCat.others,activity_1lagvalues,activity_2lagvalues,activity_3lagvalues,call_1lagvalues,call_2lagvalues,call_3lagvalues,circumplex.arousal_1lagvalues,circumplex.arousal_2lagvalues,circumplex.arousal_3lagvalues,circumplex.valence_1lagvalues,circumplex.valence_2lagvalues,circumplex.valence_3lagvalues,mood_1lagvalues,mood_2lagvalues,mood_3lagvalues,screen_1lagvalues,screen_2lagvalues,screen_3lagvalues,sms_1lagvalues,sms_2lagvalues,sms_3lagvalues,appCat.work_1lagvalues,appCat.work_2lagvalues,appCat.work_3lagvalues,appCat.free_time_1lagvalues,appCat.free_time_2lagvalues,appCat.free_time_3lagvalues,appCat.others_1lagvalues,appCat.others_2lagvalues,appCat.others_3lagvalues,weekend
AS14.01,2014-03-22,0.2368802192399581,1.0,0.6,0.5,6.4,47.61365115919779,1.0,1.0,14.80649290780142,134.99506250000002,90.53242857142857,0.13405010398938863,0.0,0.0,1.0,0.0,1.0,0.2,0.0,-0.25,0.2,0.3333333333333333,0.75,6.2,6.333333333333333,6.25,153.66587179542597,0.0,0.0,0.0,0.0,1.0,77.86417272727273,0.0,0.0,183.26119298245618,0.0,0.0,123.41672115384617,0.0,0.0,1
AS14.01,2014-03-23,0.14274111580506368,0.0,0.2,0.8,6.8,67.06764357868985,0.0,1.0,22.985146226415097,134.93730839002265,72.60916666666667,0.2368802192399581,0.13405010398938863,0.0,1.0,1.0,0.0,0.6,0.2,0.0,0.5,0.2,0.3333333333333333,6.4,6.2,6.333333333333333,47.61365115919779,153.66587179542597,0.0,1.0,0.0,0.0,14.80649290780142,77.86417272727273,0.0,134.99506250000002,183.26119298245618,0.0,90.53242857142857,123.41672115384617,0.0,1
AS14.01,2014-03-24,0.07896105611559796,1.0,0.8,0.0,6.0,76.77219898238471,0.0,1.0,13.676839080459768,244.63110869111506,184.42,0.14274111580506368,0.2368802192399581,0.13405010398938863,0.0,1.0,1.0,0.2,0.6,0.2,0.8,0.5,0.2,6.8,6.4,6.2,67.06764357868985,47.61365115919779,153.66587179542597,0.0,1.0,0.0,22.985146226415097,14.80649290780142,77.86417272727273,134.93730839002265,134.99506250000002,183.26119298245618,72.60916666666667,90.53242857142857,123.41672115384617,0
AS14.01,2014-03-25,0.09837411239050675,0.0,0.5,0.5,6.75,169.09728345720782,1.0,1.0,20.79037378640777,172.09304247104245,81.49534166666666,0.07896105611559796,0.14274111580506368,0.2368802192399581,1.0,0.0,1.0,0.8,0.2,0.6,0.0,0.8,0.5,6.0,6.8,6.4,76.77219898238471,67.06764357868985,47.61365115919779,0.0,0.0,1.0,13.676839080459768,22.985146226415097,14.80649290780142,244.63110869111506,134.93730839002265,134.99506250000002,184.42,72.60916666666667,90.53242857142857,0
AS14.01,2014-03-26,0.10130832167007593,0.0,-0.2,0.6,6.6,94.38966092159008,0.0,1.0,17.181956521739128,301.23966530554486,49.614666666666665,0.09837411239050675,0.07896105611559796,0.14274111580506368,0.0,1.0,0.0,0.5,0.8,0.2,0.5,0.0,0.8,6.75,6.0,6.8,169.09728345720782,76.77219898238471,67.06764357868985,1.0,0.0,0.0,20.79037378640777,13.676839080459768,22.985146226415097,172.09304247104245,244.63110869111506,134.93730839002265,81.49534166666666,184.42,72.60916666666667,0
AS14.01,2014-03-27,0.1595106409690975,1.0,0.2,0.8,7.0,129.20111110651933,1.0,1.0,37.25989285714286,186.34325128205128,49.687696969696965,0.10130832167007593,0.09837411239050675,0.07896105611559796,0.0,0.0,1.0,-0.2,0.5,0.8,0.6,0.5,0.0,6.6,6.75,6.0,94.38966092159008,169.09728345720782,76.77219898238471,0.0,1.0,0.0,17.181956521739128,20.79037378640777,13.676839080459768,301.23966530554486,172.09304247104245,244.63110869111506,49.614666666666665,81.49534166666666,184.42,0
AS14.01,2014-03-28,0.09569802163712016,1.0,-0.6,0.6,6.4,55.94873863187704,0.0,1.0,93.88795967741937,257.6340171717172,127.46225263157893,0.1595106409690975,0.10130832167007593,0.09837411239050675,1.0,0.0,0.0,0.2,-0.2,0.5,0.8,0.6,0.5,7.0,6.6,6.75,129.20111110651933,94.38966092159008,169.09728345720782,1.0,0.0,1.0,37.25989285714286,17.181956521739128,20.79037378640777,186.34325128205128,301.23966530554486,172.09304247104245,49.687696969696965,49.614666666666665,81.49534166666666,0
AS14.01,2014-03-29,0.06820281010186964,1.0,0.2,1.0,8.0,130.04096874594688,1.0,1.0,23.52566265060241,215.3377052631579,66.73258928571428,0.09569802163712016,0.1595106409690975,0.10130832167007593,1.0,1.0,0.0,-0.6,0.2,-0.2,0.6,0.8,0.6,6.4,7.0,6.6,55.94873863187704,129.20111110651933,94.38966092159008,0.0,1.0,0.0,93.88795967741937,37.25989285714286,17.181956521739128,257.6340171717172,186.34325128205128,301.23966530554486,127.46225263157893,49.687696969696965,49.614666666666665,1
AS14.01,2014-03-30,0.049092970521542004,0.0,-0.5,0.75,7.5,167.52644447927136,0.0,1.0,7.818207547169812,288.3593492063492,83.86833333333334,0.06820281010186964,0.09569802163712016,0.1595106409690975,1.0,1.0,1.0,0.2,-0.6,0.2,1.0,0.6,0.8,8.0,6.4,7.0,130.04096874594688,55.94873863187704,129.20111110651933,1.0,0.0,1.0,23.52566265060241,93.88795967741937,37.25989285714286,215.3377052631579,257.6340171717172,186.34325128205128,66.73258928571428,127.46225263157893,49.687696969696965,1
AS14.01,2014-03-31,0.07050548088338955,1.0,0.0,0.6,7.4,95.45833871249225,0.0,1.0,23.895402298850573,200.5245041609667,102.75108235294118,0.049092970521542004,0.06820281010186964,0.09569802163712016,0.0,1.0,1.0,-0.5,0.2,-0.6,0.75,1.0,0.6,7.5,8.0,6.4,167.52644447927136,130.04096874594688,55.94873863187704,0.0,1.0,0.0,7.818207547169812,23.52566265060241,93.88795967741937,288.3593492063492,215.3377052631579,257.6340171717172,83.86833333333334,66.73258928571428,127.46225263157893,0
AS14.01,2014-04-01,0.11844324271273599,1.0,0.2,0.0,6.0,90.38897895812988,0.0,1.0,51.76242208390964,200.13685793807645,149.65052513227513,0.07050548088338955,0.049092970521542004,0.06820281010186964,1.0,0.0,1.0,0.0,-0.5,0.2,0.6,0.75,1.0,7.4,7.5,8.0,95.45833871249225,167.52644447927136,130.04096874594688,0.0,0.0,1.0,23.895402298850573,7.818207547169812,23.52566265060241,200.5245041609667,288.3593492063492,215.3377052631579,102.75108235294118,83.86833333333334,66.73258928571428,0
